epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2124.81,0.47755,0.42206,0.9413,0.88422,0.96546,0.97955,0.90709,0.53313,0.49373,0.85451,0.000709809,0.000709809,0.000709809
60,2160.52,0.45027,0.44252,0.93094,0.91877,0.98529,0.97829,0.90583,0.57757,0.50001,0.87159,0.000693305,0.000693305,0.000693305
61,2196.24,0.44015,0.41024,0.93395,0.91932,0.98529,0.98966,0.90966,0.56238,0.48535,0.8636,0.000676802,0.000676802,0.000676802
62,2232.14,0.47242,0.42587,0.95232,0.98221,0.97112,0.99,0.91669,0.53522,0.47083,0.86516,0.000660299,0.000660299,0.000660299
63,2267.7,0.47698,0.42363,0.95621,0.92398,0.98529,0.98037,0.89193,0.55235,0.44798,0.87402,0.000643795,0.000643795,0.000643795
64,2303.05,0.44929,0.39188,0.94279,0.92045,0.98529,0.98329,0.90572,0.52717,0.41832,0.8648,0.000627292,0.000627292,0.000627292
65,2339.39,0.42669,0.37392,0.93053,0.93809,0.97945,0.995,0.91639,0.54272,0.41326,0.87624,0.000610789,0.000610789,0.000610789
66,2375.13,0.41667,0.388,0.92924,0.96989,0.98605,0.995,0.9204,0.53569,0.38893,0.88631,0.000594286,0.000594286,0.000594286
67,2410.96,0.43567,0.37525,0.92563,0.9748,0.98625,0.995,0.92164,0.54649,0.38309,0.89081,0.000577782,0.000577782,0.000577782
68,2446.29,0.42176,0.43088,0.94913,0.92217,0.98529,0.99471,0.9043,0.50815,0.39211,0.88367,0.000561279,0.000561279,0.000561279
69,2482.35,0.42233,0.37633,0.93705,0.92043,0.98529,0.99471,0.901,0.50878,0.41588,0.89357,0.000544776,0.000544776,0.000544776
70,2517.16,0.41109,0.37737,0.93024,0.92153,0.98529,0.98276,0.91101,0.50614,0.41473,0.85422,0.000528272,0.000528272,0.000528272
71,2553.26,0.41647,0.40836,0.92924,0.92065,0.98529,0.98186,0.90992,0.51342,0.4153,0.8452,0.000511769,0.000511769,0.000511769
72,2588.77,0.40638,0.37517,0.92985,0.91101,0.98942,0.98329,0.91413,0.5094,0.41549,0.85519,0.000495266,0.000495266,0.000495266
73,2625.55,0.41225,0.35847,0.92286,0.91429,0.98529,0.98329,0.92169,0.50214,0.4119,0.8484,0.000478762,0.000478762,0.000478762
74,2662.85,0.40939,0.35852,0.92326,0.92261,0.98529,0.98302,0.92731,0.48802,0.40573,0.83874,0.000462259,0.000462259,0.000462259
75,2699.47,0.41657,0.36117,0.92768,0.92112,0.98529,0.98276,0.9247,0.4849,0.41538,0.84082,0.000445756,0.000445756,0.000445756
76,2735.43,0.39336,0.35816,0.92243,0.90876,0.98529,0.98252,0.9137,0.53084,0.42067,0.87989,0.000429253,0.000429253,0.000429253
77,2772.3,0.38104,0.34595,0.92001,0.90841,0.98529,0.98276,0.9208,0.49775,0.39082,0.85995,0.000412749,0.000412749,0.000412749
78,2807.64,0.37253,0.34484,0.92538,0.90898,0.98529,0.98302,0.91864,0.50043,0.37378,0.85694,0.000396246,0.000396246,0.000396246
79,2843.18,0.37973,0.33033,0.89575,0.90417,0.98428,0.98302,0.91151,0.52922,0.39661,0.88917,0.000379743,0.000379743,0.000379743
80,2878.91,0.40917,0.34531,0.93188,0.90187,0.98193,0.97728,0.90565,0.49867,0.38988,0.86399,0.000363239,0.000363239,0.000363239
81,2914.52,0.37782,0.34311,0.91676,0.91398,0.99568,0.982,0.91566,0.47634,0.37274,0.83404,0.000346736,0.000346736,0.000346736
82,2952.04,0.38352,0.31689,0.90486,0.91209,0.99085,0.98329,0.92324,0.46575,0.36953,0.83097,0.000330233,0.000330233,0.000330233
83,2988.76,0.37376,0.32668,0.90975,0.91658,0.98529,0.97114,0.90568,0.46555,0.37281,0.83266,0.000313729,0.000313729,0.000313729
84,3024.76,0.38728,0.3331,0.92056,0.91304,0.98537,0.94757,0.87526,0.46784,0.37407,0.8275,0.000297226,0.000297226,0.000297226
85,3061.11,0.41193,0.34145,0.90257,0.8504,0.98529,0.93234,0.86554,0.45754,0.3888,0.83558,0.000280723,0.000280723,0.000280723
86,3097.3,0.35156,0.33389,0.91362,0.83991,0.98529,0.92743,0.86464,0.49366,0.38742,0.86808,0.00026422,0.00026422,0.00026422
87,3133.23,0.38889,0.33596,0.91046,0.89973,0.98601,0.93907,0.87356,0.48356,0.3784,0.86508,0.000247716,0.000247716,0.000247716
88,3169.72,0.36171,0.31871,0.90509,0.90012,0.98163,0.9373,0.87829,0.46833,0.37554,0.85306,0.000231213,0.000231213,0.000231213
89,3205.51,0.36788,0.30775,0.90815,0.91375,0.99489,0.94,0.88842,0.47717,0.37949,0.85851,0.00021471,0.00021471,0.00021471
90,3241.1,0.35291,0.31166,0.89769,0.91187,0.99088,0.959,0.90042,0.45984,0.36025,0.85819,0.000198206,0.000198206,0.000198206
91,3277.25,0.36952,0.39047,0.86612,0.92277,0.98529,0.98329,0.92108,0.43727,0.35009,0.84815,0.000181703,0.000181703,0.000181703
92,3312.8,0.33143,0.31916,0.86347,0.92041,0.98529,0.98329,0.92641,0.42465,0.35288,0.82894,0.0001652,0.0001652,0.0001652
93,3348.36,0.3444,0.33524,0.85226,0.91925,0.98529,0.97114,0.9187,0.42811,0.36665,0.82609,0.000148696,0.000148696,0.000148696
94,3383.6,0.32408,0.31582,0.85351,0.91967,0.98529,0.93543,0.88714,0.42526,0.37653,0.82601,0.000132193,0.000132193,0.000132193
